,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Ã…"
0,TiO2,420.7,-9.96,1.6083618887379608e-11,119.31976,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1,Fe3O4,957.0,49.25722173011928,7.994032100825751e-13,100.0,12.0,231.5326,2.75,Fe,0.8525
2,Au,6.3,24.4,0.0006,100.0,24.0,196.966569,2.54,Au, 
3,Fe3O4,957.0,49.25722173011928,1.59880642016515e-15,98.1579741,24.0,231.5326,2.75,Fe,0.8525
4,Ag,28.41,-33.33,7.110908360087976e-08,43.45515,48.0,107.8682,1.93,Ag,1.086666666666667
5,SiO2,19.4,-35.9,0.008,101.67,24.0, ,2.9266666666666663,Si, 
6,Al2O3,13.0,8.667160493827168,0.75,85.475,48.0,101.9612772, ,Al,0.675
7,SiO2,12.0,-35.9,0.4,24.89,24.0, ,2.9266666666666663,Si, 
8,SiO2,21.06,-35.9,0.05,61.071,24.0, ,2.9266666666666663,Si, 
9,Cu2O,88.5,118.7302016664654,1.091147106858293e-09,54.658386,24.0,143.0914,2.4133333333333336,Cu,0.82
10,ZnO,20.0,-26.0,0.08,24.89,24.0,81.4084,2.545,Zn,0.88
11,SiO2,59.72,-35.9,0.05,32.2,72.0, ,2.9266666666666663,Si, 
12,Fe3O4,361.4,12.1,1.855441514797428e-11,55.113636,168.0,231.5326,2.75,Fe,0.8525
13,C56H103N9O39,155.0,28.8,1.733317715418069e-06,93.211006,4.0,1526.45392,2.564830917874396,C,0.3
14,ZnO,67.0,44.1,7.65072847916516e-08,10.097847,48.0,81.4084,2.545,Zn,0.88
15,C56H103N9O39,260.0,47.0,2.754320596624287e-07,81.52838,24.0,1526.45392,2.564830917874396,C,0.3
16,ZrO2,10.0,-45.5,0.2,43.6,24.0, ,2.736666666666667,Zr, 
17,Au,6.3,24.4,0.0006,101.36,24.0,196.966569,2.54,Au, 
18,Pt,13.5,-40.5,2.93078455103354e-07,64.84472,48.0, , ,Pt,0.805
19,Au,25.0,24.4,0.0075,21.716,4.0,196.966569,2.54,Au, 
20,Au,33.69,24.4,0.04,116.24,96.0,196.966569,2.54,Au, 
21,ZnO,112.0,-26.0,1.310276996161598e-09,100.0,24.0,81.4084,2.545,Zn,0.88
22,MgO,639.0,-7.01,1.368414584861392e-15,98.8764,12.0,40.3044,2.375,Mg, 
23,Fe3O4,145.8,17.7,1.4128925872589388e-10,68.484,168.0,231.5326,2.75,Fe,0.8525
24,Fe3O4,196.4,49.25722173011928,1.849725341605939e-10,99.48388338,24.0,231.5326,2.75,Fe,0.8525
25,ZnO,100.0, ,0.08,-3.5573,24.0, , , , 
26,Fe3O4,361.4,12.1,3.710883029594856e-11,100.39683,72.0,231.5326,2.75,Fe,0.8525
27,Au,6.3,24.4,0.0025,88.834,24.0,196.966569,2.54,Au, 
28,TiO2,100.0,-17.6,2.993927768629509e-09,68.0,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
29,NiO,22.0,25.3,0.001,98.588,24.0,74.69279999999999, ,Ni,0.74
30,SiO2,437.0,21.7,1.077039594265044e-10,106.95652,12.0, ,2.9266666666666663,Si, 
31,Al2O3,28.0,8.667160493827168,9.322983618222381e-08,99.565216,24.0,101.9612772, ,Al,0.675
32,Cu2O,88.5,118.7302016664654,1.091147106858293e-07,79.15344,11.0,143.0914,2.4133333333333336,Cu,0.82
33,TiO2,25.0,-17.6,0.02,112.79,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
34,TiO2,25.0,-17.6,0.15,127.62,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
35,ZnO,52.0,-26.0,0.025,60.133,24.0,81.4084,2.545,Zn,0.88
36,CuO,52.51,-39.67,2.761280278419176e-09,74.58716,24.0,79.5454,2.67,Cu,0.82
37,MgO,12.0,-7.01,0.2,53.07,24.0,40.3044,2.375,Mg, 
38,C56H103N9O39,40.0,34.6,0.015,51.806,24.0,1526.45392,2.564830917874396,C,0.3
39,CdO,179.3,88.18023735375812,8.668671717265826e-11,13.747017,24.0, ,2.565,Cd,1.09
40,Au,50.0,24.4,0.005,102.03,72.0,196.966569,2.54,Au, 
41,TiO2,100.0,-17.6,5.987855537259018e-09,62.0,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
42,ZnO,60.0,-26.0,2.610076158696639e-07,78.81142,4.0,81.4084,2.545,Zn,0.88
43,Fe3O4,36.0,49.25722173011928,7.508690494654784e-08,72.735,24.0,231.5326,2.75,Fe,0.8525
44,ZnO,75.0,-26.0,1.3635887701209781e-08,85.55024,3.0,81.4084,2.545,Zn,0.88
45,Fe3O4,13.5,49.25722173011928,2.315326e-07,101.673546,48.0,231.5326,2.75,Fe,0.8525
46,MgO,39.2,-7.01,0.1,62.623,24.0,40.3044,2.375,Mg, 
47,SiO2,21.06,-35.9,0.01,57.011,72.0, ,2.9266666666666663,Si, 
48,TiO2,50.0,-17.6,8e-06,97.609,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
49,Au,18.0,24.4,0.0006,92.893,24.0,196.966569,2.54,Au, 
50,Fe3O4,957.0,49.25722173011928,7.994032100825752e-12,97.75281,12.0,231.5326,2.75,Fe,0.8525
51,C9H15N3O6,14.3,-29.0,2.612319e-07,98.71747,17.0,261.2319,2.597272727272728,C,0.3
52,Ag,28.41,-33.33,3.555454180043988e-07,43.311256,24.0,107.8682,1.93,Ag,1.086666666666667
53,Ag,28.41,-33.33,1.422181672017595e-06,11.561461,24.0,107.8682,1.93,Ag,1.086666666666667
54,C56H103N9O39,260.0,47.0,2.754320596624287e-07,94.104805,24.0,1526.45392,2.564830917874396,C,0.3
55,Au,20.0,24.4,1.96966569e-06,101.51899,48.0,196.966569,2.54,Au, 
56,Ag,28.41,-33.33,5.688726688070381e-08,8.135593,48.0,107.8682,1.93,Ag,1.086666666666667
57,TiO2,80.0,-17.6,0.05,85.921,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
58,Pt,13.5,-40.5,1.172313820413416e-06,47.701862,24.0, , ,Pt,0.805
59,TiO2,5.0,-17.6,0.1,162.02,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
60,TiO2,50.0,-17.6,8e-05,93.836,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
61,SiO2,10.0,-35.9,0.001,94.023,24.0, ,2.9266666666666663,Si, 
62,Au,5.0,24.4,0.005,20.784,72.0,196.966569,2.54,Au, 
63,C56H103N9O39,159.0,30.5,3.585190448980889e-06,50.0,4.0,1526.45392,2.564830917874396,C,0.3
64,ZnO,12.0,-26.0,2.944983856707878e-07,76.85051,24.0,81.4084,2.545,Zn,0.88
65,Au,5.0,24.4,0.00625,106.09,72.0,196.966569,2.54,Au, 
66,TiO2,124.9,-17.6,2.458521360223581e-10,91.42857,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
67,Pt,13.5,-8.0,2.93078455103354e-07,98.54265,24.0, , ,Pt,0.805
68,Ag,28.41,-33.33,1.422181672017595e-07,27.81457,72.0,107.8682,1.93,Ag,1.086666666666667
69,SiO2,30.0,-35.9,0.005,94.698,24.0, ,2.9266666666666663,Si, 
70,C56H103N9O39,260.0,47.0,2.754320596624287e-07,90.26201,24.0,1526.45392,2.564830917874396,C,0.3
71,Ag,28.41,-33.33,3.555454180043988e-08,62.12766,48.0,107.8682,1.93,Ag,1.086666666666667
72,CuO,52.51,-39.67,0.05,48.0,24.0,79.5454,2.67,Cu,0.82
73,ZnO,100.0,-26.0,0.03,56.769,3.0,81.4084,2.545,Zn,0.88
74,CuO,239.0,-39.67,2.928483916027279e-10,14.606742,12.0,79.5454,2.67,Cu,0.82
75,Pt,24.6,-8.0,0.02,95.0,24.0, , ,Pt,0.805
76,SiO2,386.9,-35.9,4.842107030923417e-12,120.70175,24.0, ,2.9266666666666663,Si, 
77,MnO,10.0,79.47903071527261,4.189402539153161e-08,82.588234,24.0,70.937445, ,Mn,0.6483333333333333
78,Fe3O4,361.4,12.1,4.631182020934381e-12,98.86364,72.0,231.5326,2.75,Fe,0.8525
79,SiO2,15.0,-35.9,0.02,30.713,24.0, ,2.9266666666666663,Si, 
80,Cu2O,88.5,118.7302016664654,1.129886539051926e-09,92.27513,7.0,143.0914,2.4133333333333336,Cu,0.82
81,ZnO,67.0,45.2,7.65072847916516e-10,99.804306,48.0,81.4084,2.545,Zn,0.88
82,SiO2,19.4,-35.9,0.008,101.67,24.0, ,2.9266666666666663,Si, 
83,Au,21.7,-7.6,9.84832845e-06,94.153275,24.0,196.966569,2.54,Au, 
84,ZnO,60.0,-26.0,0.000814084,89.433136,48.0,81.4084,2.545,Zn,0.88
85,SiO2,10.0,-35.9,0.001,4.5234,24.0, ,2.9266666666666663,Si, 
86,C23H40N2O18,93.13,-22.6,1.307177236848928e-05,0.65462756,24.0,632.5663,2.5861445783132533,C,0.3
87,TiO2,21.0,-17.6,0.04,132.0,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
88,TiO2,25.0,-17.6,0.1,116.11,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
89,Al2O3,13.0,8.667160493827168,0.25,90.875,48.0,101.9612772, ,Al,0.675
90,TiO2,21.0,-17.6,0.06,134.15,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
91,SiO2,21.06,-35.9,0.01,58.542,72.0, ,2.9266666666666663,Si, 
92,SiO2,25.0,30.0,1.5021075e-09,103.414635,48.0, ,2.9266666666666663,Si, 
93,SiO2,60.0,-30.0,1.5021075e-09,102.99595,48.0, ,2.9266666666666663,Si, 
94,Fe3O4,361.4,12.1,3.710883029594856e-11,94.7521715,24.0,231.5326,2.75,Fe,0.8525
95,TiO2,38.0,-17.6,1.0912406213112371e-09,99.818184,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
96,Ag,28.41,-33.33,8.533090032105572e-08,6.915254,48.0,107.8682,1.93,Ag,1.086666666666667
97,Cu2O,88.5,118.7302016664654,3.633050017893904e-08,3.9751554,24.0,143.0914,2.4133333333333336,Cu,0.82
98,SiO2,21.06,-35.9,0.2,50.569,72.0, ,2.9266666666666663,Si, 
99,C56H103N9O39,122.0,26.5,4.632933367662643e-06,80.0,4.0,1526.45392,2.564830917874396,C,0.3
100,SiO2,29.5,-35.9,5.32173837449352e-08,103.35135,4.0, ,2.9266666666666663,Si, 
101,SiO2,59.72,-35.9,0.1,49.512,24.0, ,2.9266666666666663,Si, 
102,Pt,13.5,-40.5,5.861569102067081e-07,58.799557,24.0, , ,Pt,0.805
103,Al2O3,28.0,8.667160493827168,9.322983618222381e-08,99.565216,24.0,101.9612772, ,Al,0.675
104,Au,30.0,24.4,0.01,77.284,48.0,196.966569,2.54,Au, 
105,Ag,14.7,-20.0,3.596657013151367e-07,43.12595,24.0,107.8682,1.93,Ag,1.086666666666667
106,Pt,20.12,-8.0,0.005,70.0,48.0, , ,Pt,0.805
107,ZnO,60.0,-26.0,6.284675176418652e-11,82.73483,4.0,81.4084,2.545,Zn,0.88
108,CeO2,25.0,20.020605822958544,0.1,104.01,24.0,172.1148,2.6666666666666665,Ce,1.08
109,Au,18.0,24.4,0.0006,86.849,24.0,196.966569,2.54,Au, 
110,TiO2,15.0,-17.6,0.05,79.1,72.0,79.8658,2.806666666666666,Ti,0.8516666666666667
111,ZnO,100.0,-26.0,0.025,14.625,24.0,81.4084,2.545,Zn,0.88
112,SiO2,386.9,-35.9,6.20782952682489e-10,79.29825,24.0, ,2.9266666666666663,Si, 
113,SiO2,437.0,21.7,8.61631675412035e-10,85.61404,24.0, ,2.9266666666666663,Si, 
114,C9H15N3O6,11.7,-30.0,2.612319e-07,75.69721,10.0,261.2319,2.597272727272728,C,0.3
115,Al2O3,39.7,8.667160493827168,0.05,91.803,24.0,101.9612772, ,Al,0.675
116,TiO2,124.9,-17.6,2.458521360223581e-10,95.2381,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
117,Au,6.3,24.4,0.0003,99.739,24.0,196.966569,2.54,Au, 
118,Pt,13.5,-8.0,4.689255281653665e-06,43.195477,72.0, , ,Pt,0.805
119,Pt,20.12,-8.0,0.005,70.0,48.0, , ,Pt,0.805
120,Fe3O4,196.4,49.25722173011928,1.849725341605939e-11,97.32284,24.0,231.5326,2.75,Fe,0.8525
121,TiO2,47.83,-17.6,1.0452099578621372e-08,100.0,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
122,NiO,21.6,25.3,0.005,97.387,24.0,74.69279999999999, ,Ni,0.74
123,Fe3O4,46.8,49.25722173011928,0.02,89.18,24.0,231.5326,2.75,Fe,0.8525
124,SiO2,21.06,-35.9,0.2,27.891,72.0, ,2.9266666666666663,Si, 
125,C56H103N9O39,40.0,34.6,0.02,30.581,36.0,1526.45392,2.564830917874396,C,0.3
126,MnO,10.0,79.47903071527261,2.094701269576581e-06,43.764706,24.0,70.937445, ,Mn,0.6483333333333333
127,TiO2,160.5,-27.8,2.172388338752741e-09,111.2,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
128,C23H40N2O18,143.67,-12.3,7.120901947264754e-07,80.368835,24.0,632.5663,2.5861445783132533,C,0.3
129,CuO,239.0,-39.67,1.46424195801364e-11,84.26966,12.0,79.5454,2.67,Cu,0.82
130,Fe3O4,361.4,12.1,9.27720757398714e-12,93.199493,4.0,231.5326,2.75,Fe,0.8525
131,Pt,13.5,-40.5,1.172313820413416e-06,50.037136,24.0, , ,Pt,0.805
132,SiO2,199.89,-35.9,0.2,50.797,72.0, ,2.9266666666666663,Si, 
133,ZnO,639.0,-26.0,1.7638214452146778e-11,22.47191,24.0,81.4084,2.545,Zn,0.88
134,Au,61.46,24.4,0.02,72.494,24.0,196.966569,2.54,Au, 
135,SiO2,100.33,-35.9,0.05,34.467,72.0, ,2.9266666666666663,Si, 
136,SiO2,13.0,-27.0,0.0032729239202234,69.19419,24.0, ,2.9266666666666663,Si, 
137,TiO2,170.0,-17.6,1.462533410281054e-09,147.12544,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
138,Au,33.69,24.4,0.004,92.174,96.0,196.966569,2.54,Au, 
139,C56H103N9O39,159.0,30.5,3.91195231819164e-06,50.0,4.0,1526.45392,2.564830917874396,C,0.3
140,ZnO,141.0,-26.0,0.01,84.867,12.0,81.4084,2.545,Zn,0.88
141,CeO2,4.7,20.020605822958544,0.0875,67.733,24.0,172.1148,2.6666666666666665,Ce,1.08
142,TiO2,6.0,-17.6,0.0125,93.232,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
143,SiO2,59.72,-35.9,0.5,42.299,72.0, ,2.9266666666666663,Si, 
144,TiO2,420.7,-9.96,4.825085666213883e-11,107.05633,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
145,Ag,28.41,-33.33,5.688726688070381e-08,7.322034,72.0,107.8682,1.93,Ag,1.086666666666667
146,Pt,24.6,-8.0,0.36,54.15,48.0, , ,Pt,0.805
147,TiO2,24.59,-17.6,0.1,8.6,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
148,Fe3O4,28.33,49.25722173011928,0.001,55.289,24.0,231.5326,2.75,Fe,0.8525
149,ZnO,45.3,-26.0,0.005,91.776,12.0,81.4084,2.545,Zn,0.88
150,Au,18.0,24.4,0.0025,87.092,24.0,196.966569,2.54,Au, 
151,SiO2,20.0,-35.9,0.5,64.804,48.0, ,2.9266666666666663,Si, 
152,Au,6.0,24.4,0.05,86.145,24.0,196.966569,2.54,Au, 
153,Au,21.7,-7.6,3.93933138e-05,88.172,24.0,196.966569,2.54,Au, 
154,Au,6.0,24.4,0.05,94.301,24.0,196.966569,2.54,Au, 
155,SiO2,10.0,-35.9,0.001,94.023,24.0, ,2.9266666666666663,Si, 
156,Fe3O4,957.0,49.25722173011928,1.59880642016515e-14,94.3931265,24.0,231.5326,2.75,Fe,0.8525
157,TiO2,15.84,-17.6,0.01,64.109,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
158,CuO,28.2,-39.67,0.01,128.04,4.0,79.5454,2.67,Cu,0.82
159,ZnO,8.0,-26.0,0.407042,43.79845,24.0,81.4084,2.545,Zn,0.88
160,Au,6.3,24.4,0.0012,97.523,24.0,196.966569,2.54,Au, 
161,PLGA,105.0, ,1.0,-73.726,72.0, , , , 
162,Fe3O4,957.0,49.25722173011928,7.994032100825751e-13,86.861019,24.0,231.5326,2.75,Fe,0.8525
163,Pt,13.5,-40.5,5.861569102067081e-07,38.11904,72.0, , ,Pt,0.805
164,TiO2,81.8,-17.6,0.01,78.733,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
165,Au,30.0,24.4,0.025,6.599,24.0,196.966569,2.54,Au, 
166,TiO2,35.0,-17.6,6.982921909339963e-08,87.06105,4.0,79.8658,2.806666666666666,Ti,0.8516666666666667
167,TiO2,38.0,-17.6,1.091240621311237e-07,88.36364,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
168,ZnO,67.0,45.2,7.65072847916516e-10,99.804306,48.0,81.4084,2.545,Zn,0.88
169,TiO2,170.0,-17.6,7.31266705140527e-10,131.1093,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
170,C56H103N9O39,40.0,34.6,0.03,48.065,12.0,1526.45392,2.564830917874396,C,0.3
171,TiO2,20.0,-17.6,0.025,76.302,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
172,Au,65.0,24.4,0.02,86.0,24.0,196.966569,2.54,Au, 
173,Ag,40.0, ,0.05,-72.601,24.0, , , , 
174,Au,33.69,24.4,0.0002,120.51,24.0,196.966569,2.54,Au, 
175,SiO2,100.33,-35.9,0.2,56.322,72.0, ,2.9266666666666663,Si, 
176,Pt,13.5,-40.5,2.93078455103354e-07,81.75,48.0, , ,Pt,0.805
177,SiO2,100.0,-35.9,0.005,98.355,24.0, ,2.9266666666666663,Si, 
178,SiO2,18.3,-35.9,0.001,96.277,24.0, ,2.9266666666666663,Si, 
179,MgO,639.0,-7.01,1.368414584861392e-13,96.62921,12.0,40.3044,2.375,Mg, 
180,Au,215.0,24.4,0.0003,99.747,24.0,196.966569,2.54,Au, 
181,TiO2,150.0,-17.6,5.46872957491374e-12,92.4812,4.0,79.8658,2.806666666666666,Ti,0.8516666666666667
182,SiO2,199.89,-35.9,0.5,12.245,72.0, ,2.9266666666666663,Si, 
183,Pt,13.5,-40.5,1.172313820413416e-06,29.348589,72.0, , ,Pt,0.805
184,ZnO,165.0,-26.0,8.19587540268056e-14,99.75903,24.0,81.4084,2.545,Zn,0.88
185,Ag,28.41,-33.33,2.84436334403519e-07,28.729641,48.0,107.8682,1.93,Ag,1.086666666666667
186,Al2O3,39.7,8.667160493827168,0.05,91.803,24.0,101.9612772, ,Al,0.675
187,Co3O4,200.0,45.31207623750339,3.546167538793759e-09,44.14966,72.0,240.797185,2.771428571428572,Co,0.7683333333333334
188,Fe3O4,361.4,12.1,1.855441514797428e-11,82.954544,72.0,231.5326,2.75,Fe,0.8525
189,ZnO,40.44,-26.0,0.02,67.167,24.0,81.4084,2.545,Zn,0.88
190,TiO2,50.0,-17.6,7.185426644710821e-10,23.414427,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
191,Co3O4,78.3,45.31207623750339,0.1,12.063,48.0,240.797185,2.771428571428572,Co,0.7683333333333334
192,Fe3O4,361.4,12.1,7.421766059189711e-11,55.113636,72.0,231.5326,2.75,Fe,0.8525
193,Au,5.0,24.4,0.00625,10.0,72.0,196.966569,2.54,Au, 
194,Fe3O4,46.8,49.25722173011928,0.0001,92.787,24.0,231.5326,2.75,Fe,0.8525
195,CeO2,12.5,20.020605822958544,0.025,95.414,24.0,172.1148,2.6666666666666665,Ce,1.08
196,ZnO,639.0,-26.0,1.763821445214679e-16,96.62921,12.0,81.4084,2.545,Zn,0.88
197,TiO2,50.0,-17.6,0.008,74.169,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
198,ZnO,100.0,-26.0,0.025,72.53,6.0,81.4084,2.545,Zn,0.88
199,ZnO,90.0,-26.0,0.01,27.99,24.0,81.4084,2.545,Zn,0.88
200,Al2O3,239.0,8.667160493827168,2.99823250324321e-11,36.03871,24.0,101.9612772, ,Al,0.675
201,Au,215.0,24.4,0.005,40.808,24.0,196.966569,2.54,Au, 
202,C56H103N9O39,360.0,47.0,1.037592995676194e-07,72.62009,24.0,1526.45392,2.564830917874396,C,0.3
203,Fe3O4,145.8,17.7,7.053159795596625e-11,98.2479,24.0,231.5326,2.75,Fe,0.8525
204,Pt,13.5,-40.5,4.689255281653665e-06,17.888199,48.0, , ,Pt,0.805
205,Fe3O4,361.4,12.1,4.631182020934381e-12,100.04899,72.0,231.5326,2.75,Fe,0.8525
206,Fe3O4,361.4,12.1,4.631182020934381e-12,93.301194,24.0,231.5326,2.75,Fe,0.8525
207,TiO2,81.8,-17.6,0.01,76.505,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
208,SiO2,100.33,-35.9,0.5,29.024,24.0, ,2.9266666666666663,Si, 
209,CeO2,20.3,20.020605822958544,0.1,103.06,24.0,172.1148,2.6666666666666665,Ce,1.08
210,SiO2,10.0,-35.9,1.0,44.265,24.0, ,2.9266666666666663,Si, 
211,ZnO,100.0,-26.0,0.08,59.825,6.0,81.4084,2.545,Zn,0.88
212,ZnO,67.0,45.2,3.82536423958258e-08,9.158513,48.0,81.4084,2.545,Zn,0.88
213,Ag,28.41,-33.33,7.110908360087976e-08,43.45515,48.0,107.8682,1.93,Ag,1.086666666666667
214,CuO,52.51,-39.67,0.025,69.0,24.0,79.5454,2.67,Cu,0.82
215,Fe3O4,12.5,49.25722173011928,1.7936663742393e-05,72.867615,26.0,231.5326,2.75,Fe,0.8525
216,Pt,13.5,-40.5,1.172313820413416e-06,29.348589,72.0, , ,Pt,0.805
217,SiO2,100.33,-35.9,0.5,72.705,24.0, ,2.9266666666666663,Si, 
218,Fe3O4,145.8,17.7,5.651570349035752e-10,94.188034,24.0,231.5326,2.75,Fe,0.8525
219,CuO,46.3,-39.67,0.02,45.215,12.0,79.5454,2.67,Cu,0.82
220,TiO2,115.0,-17.6,1.574844885282227e-09,100.0,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
221,TiO2,81.8,-17.6,0.03,46.833,48.0,79.8658,2.806666666666666,Ti,0.8516666666666667
222,Au,90.0,24.4,0.005,90.853,24.0,196.966569,2.54,Au, 
223,SiO2,598.2,87.0,2.519347090553039e-11,87.703705,24.0, ,2.9266666666666663,Si, 
224,TiO2,11.69,-17.6,2.86365792854164e-06,93.2735424,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
225,CuO,46.3,-39.67,0.02,45.215,12.0,79.5454,2.67,Cu,0.82
226,SiO2,115.0,-48.0,1.5021075e-10,90.688255,48.0, ,2.9266666666666663,Si, 
227,Cu2O,88.5,118.7302016664654,1.0911471068582928e-10,101.86336,24.0,143.0914,2.4133333333333336,Cu,0.82
228,SiO2,437.0,21.7,3.360363534106936e-12,103.1579,24.0, ,2.9266666666666663,Si, 
229,TiO2,35.0,-17.6,4.189753145603979e-07,68.59472,4.0,79.8658,2.806666666666666,Ti,0.8516666666666667
230,SiO2,598.2,87.0,2.519347090553039e-11,115.55556,24.0, ,2.9266666666666663,Si, 
231,Fe3O4,274.1,-27.7,6.804631170809617e-12,86.36364,24.0,231.5326,2.75,Fe,0.8525
232,TiO2,124.9,-17.6,2.458521360223581e-11,92.14286,6.0,79.8658,2.806666666666666,Ti,0.8516666666666667
233,Au,6.3,24.4,0.005,86.104,24.0,196.966569,2.54,Au, 
234,Fe3O4,42.5,49.25722173011928,0.0001,97.039,12.0,231.5326,2.75,Fe,0.8525
235,C56H103N9O39,240.0,43.9,3.501876360407153e-07,41.411938,24.0,1526.45392,2.564830917874396,C,0.3
236,MgO,12.0,-7.01,0.2,53.07,24.0,40.3044,2.375,Mg, 
237,SiO2,14.23,-35.9,0.001,96.842,72.0, ,2.9266666666666663,Si, 
238,Au,6.0,24.4,0.05,96.19,24.0,196.966569,2.54,Au, 
239,CuO,30.0,-39.67,0.03,56.42,24.0,79.5454,2.67,Cu,0.82
240,TiO2,38.0,-17.6,2.182481242622473e-08,84.545456,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
241,C56H103N9O39,260.0,47.0,2.754320596624287e-07,83.9738,24.0,1526.45392,2.564830917874396,C,0.3
242,ZnO,60.0,-26.0,8.140840000000001e-06,98.67841,48.0,81.4084,2.545,Zn,0.88
243,SiO2,437.0,21.7,6.720727068213873e-12,108.91304,12.0, ,2.9266666666666663,Si, 
244,ZnO,67.0,44.1,7.650728479165159e-11,100.97847,48.0,81.4084,2.545,Zn,0.88
245,Fe3O4,361.4,12.1,3.710883029594856e-11,53.409092,120.0,231.5326,2.75,Fe,0.8525
246,Ag,28.41,-33.33,1.137745337614076e-07,65.960266,24.0,107.8682,1.93,Ag,1.086666666666667
247,CeO2,20.3,20.020605822958544,1.705884010238828e-06,104.85748,24.0,172.1148,2.6666666666666665,Ce,1.08
248,C56H103N9O39,40.0,34.6,0.02,54.0,12.0,1526.45392,2.564830917874396,C,0.3
249,ZnO,165.0,-26.0,8.195875402680559e-11,43.79971,48.0,81.4084,2.545,Zn,0.88
